"","X","SEAMAP","DEPTH","FLUORO","SALINITY","TEMP","CRUISE","depth","pressure","density","ID","strat","storm"
"79",2377,"B219",3,2.3931,29.5671,28.2751,"SEAMAP",10.220640569395,3.02151926043428,1018.23985310487,"Q58",2.36907142159896,"Harvey"
"80",2378,"B219",3.2,1.9142,30.02885,28.2162,"SEAMAP",10.220640569395,3.22295532285984,1018.60581901399,"Q58",2.36907142159896,"Harvey"
"81",2379,"B219",3.4,1.9975,30.11765,28.21395,"SEAMAP",10.220640569395,3.42439156593527,1018.67398493132,"Q58",2.36907142159896,"Harvey"
"82",2380,"B219",3.6,1.7543,30.23225,28.2154,"SEAMAP",10.220640569395,3.62582798963544,1018.76030318427,"Q58",2.36907142159896,"Harvey"
"83",2381,"B219",3.8,1.2956,30.7472,28.2697,"SEAMAP",10.220640569395,3.82726459398547,1019.12973010556,"Q58",2.36907142159896,"Harvey"
"84",2382,"B219",4,0.8505,30.76495,28.2922,"SEAMAP",10.220640569395,4.02870137896025,1019.13661859619,"Q58",2.36907142159896,"Harvey"
"85",2383,"B219",4.2,0.6644,30.6133,28.2572,"SEAMAP",10.220640569395,4.23013834455978,1019.03510462981,"Q58",2.36907142159896,"Harvey"
"86",2384,"B219",4.4,0.6429,30.92745,28.3054,"SEAMAP",10.220640569395,4.43157549080917,1019.25593043604,"Q58",2.36907142159896,"Harvey"
"87",2385,"B219",4.6,0.5944,31.1073,28.30165,"SEAMAP",10.220640569395,4.63301281773354,1019.39289287874,"Q58",2.36907142159896,"Harvey"
"88",2386,"B219",4.8,0.6228,31.20655,28.287,"SEAMAP",10.220640569395,4.83445032525754,1019.47295356521,"Q58",2.36907142159896,"Harvey"
"89",2387,"B219",5,0.549,31.26995,28.30365,"SEAMAP",10.220640569395,5.03588801343141,1019.5159680544,"Q58",2.36907142159896,"Harvey"
"90",2414,"B222",2.6,0.1961,29.2878,28.40725,"SEAMAP",18.4569420035149,2.61864767748252,1017.98617946067,"Q61",4.09133287163343,"Harvey"
"91",2415,"B222",2.8,0.2433,29.2825,28.40875,"SEAMAP",18.4569420035149,2.82008337863347,1017.98259284662,"Q61",4.09133287163343,"Harvey"
"92",2416,"B222",3,0.3326,29.2875,28.3795,"SEAMAP",18.4569420035149,3.02151926043428,1017.99665701152,"Q61",4.09133287163343,"Harvey"
"93",2417,"B222",3.2,0.4529,29.32585,28.3951,"SEAMAP",18.4569420035149,3.22295532285984,1018.02121713685,"Q61",4.09133287163343,"Harvey"
"94",2418,"B222",3.4,0.4486,29.34915,28.4125,"SEAMAP",18.4569420035149,3.42439156593527,1018.03391755402,"Q61",4.09133287163343,"Harvey"
"95",2419,"B222",3.6,0.4388,29.35005,28.4108,"SEAMAP",18.4569420035149,3.62582798963544,1018.03600991586,"Q61",4.09133287163343,"Harvey"
"96",2420,"B222",3.8,0.444,29.35,28.40985,"SEAMAP",18.4569420035149,3.82726459398547,1018.0371481025,"Q61",4.09133287163343,"Harvey"
"97",2421,"B222",4,0.4192,29.35035,28.41025,"SEAMAP",18.4569420035149,4.02870137896025,1018.03814953235,"Q61",4.09133287163343,"Harvey"
"98",2422,"B222",4.2,0.4426,29.3501,28.41015,"SEAMAP",18.4569420035149,4.23013834455978,1018.03886309845,"Q61",4.09133287163343,"Harvey"
"99",2423,"B222",4.4,0.4306,29.3503,28.4087,"SEAMAP",18.4569420035149,4.43157549080917,1018.04035020339,"Q61",4.09133287163343,"Harvey"
"100",2424,"B222",4.6,0.4399,29.3496,28.408,"SEAMAP",18.4569420035149,4.63301281773354,1018.04092060257,"Q61",4.09133287163343,"Harvey"
"101",2425,"B222",4.8,0.4525,29.34975,28.4078,"SEAMAP",18.4569420035149,4.83445032525754,1018.04196615463,"Q61",4.09133287163343,"Harvey"
"102",2426,"B222",5,0.4491,29.35845,28.4128,"SEAMAP",18.4569420035149,5.03588801343141,1018.0477359121,"Q61",4.09133287163343,"Harvey"
"103",2494,"B218",3,0.3862,31.985,28.48795,"SEAMAP",20.0520446096654,3.02151926043428,1019.9836068264,"Q57",3.56532806203063,"Harvey"
